"initial_alias","converted_alias","name","description","namespace"
"ENSMUSG00000022544","ENSMUSG00000022544","Eef2kmt","eukaryotic elongation factor 2 lysine methyltransferase [Source:MGI Symbol;Acc:MGI:1917761]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000034442","ENSMUSG00000034442","Trmt5","TRM5 tRNA methyltransferase 5 [Source:MGI Symbol;Acc:MGI:1923607]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000021752","ENSMUSG00000021752","Kctd6","potassium channel tetramerisation domain containing 6 [Source:MGI Symbol;Acc:MGI:1918643]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000029622","ENSMUSG00000029622","Arpc1b","actin related protein 2/3 complex, subunit 1B [Source:MGI Symbol;Acc:MGI:1343142]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000030335","ENSMUSG00000030335","Mrpl51","mitochondrial ribosomal protein L51 [Source:MGI Symbol;Acc:MGI:1913743]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000034867","ENSMUSG00000034867","Ankrd27","ankyrin repeat domain 27 (VPS9 domain) [Source:MGI Symbol;Acc:MGI:2444103]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000028029","ENSMUSG00000028029","Aimp1","aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 [Source:MGI Symbol;Acc:MGI:102774]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026035","ENSMUSG00000026035","Ppil3","peptidylprolyl isomerase (cyclophilin)-like 3 [Source:MGI Symbol;Acc:MGI:1917475]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000039234","ENSMUSG00000039234","Sec24d","SEC24 homolog D, COPII coat complex component [Source:MGI Symbol;Acc:MGI:1916858]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000043131","ENSMUSG00000043131","Mob1a","MOB kinase activator 1A [Source:MGI Symbol;Acc:MGI:2442631]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000038028","ENSMUSG00000038028","Tigar","Trp53 induced glycolysis regulatory phosphatase [Source:MGI Symbol;Acc:MGI:2442752]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000030224","ENSMUSG00000030224","Strap","serine/threonine kinase receptor associated protein [Source:MGI Symbol;Acc:MGI:1329037]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000042834","ENSMUSG00000042834","Nrep","neuronal regeneration related protein [Source:MGI Symbol;Acc:MGI:99444]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000028385","ENSMUSG00000028385","Snx30","sorting nexin family member 30 [Source:MGI Symbol;Acc:MGI:2443882]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020462","ENSMUSG00000020462","Cfap36","cilia and flagella associated protein 36 [Source:MGI Symbol;Acc:MGI:1913994]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000033022","ENSMUSG00000033022","Cdo1","cysteine dioxygenase 1, cytosolic [Source:MGI Symbol;Acc:MGI:105925]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000055024","ENSMUSG00000055024","Ep300","E1A binding protein p300 [Source:MGI Symbol;Acc:MGI:1276116]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000063849","ENSMUSG00000063849","Ppcdc","phosphopantothenoylcysteine decarboxylase [Source:MGI Symbol;Acc:MGI:1914062]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000033526","ENSMUSG00000033526","Ppip5k1","diphosphoinositol pentakisphosphate kinase 1 [Source:MGI Symbol;Acc:MGI:2443281]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000038708","ENSMUSG00000038708","Golga4","golgin A4 [Source:MGI Symbol;Acc:MGI:1859646]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000054150","ENSMUSG00000054150","Syne3","spectrin repeat containing, nuclear envelope family member 3 [Source:MGI Symbol;Acc:MGI:2442408]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000022009","ENSMUSG00000022009","Nufip1","nuclear FMR1 interacting protein 1 [Source:MGI Symbol;Acc:MGI:1351474]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000039987","ENSMUSG00000039987","Phtf2","putative homeodomain transcription factor 2 [Source:MGI Symbol;Acc:MGI:1916020]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026000","ENSMUSG00000026000","Lancl1","LanC (bacterial lantibiotic synthetase component C)-like 1 [Source:MGI Symbol;Acc:MGI:1336997]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000031570","ENSMUSG00000031570","Plpp5","phospholipid phosphatase 5 [Source:MGI Symbol;Acc:MGI:1919160]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000047496","ENSMUSG00000047496","Rnf152","ring finger protein 152 [Source:MGI Symbol;Acc:MGI:2443787]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000018770","ENSMUSG00000018770","Atp5mc3","ATP synthase membrane subunit c locus 3 [Source:MGI Symbol;Acc:MGI:2442035]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000018821","ENSMUSG00000018821","Avpi1","arginine vasopressin-induced 1 [Source:MGI Symbol;Acc:MGI:1916784]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027131","ENSMUSG00000027131","Emc4","ER membrane protein complex subunit 4 [Source:MGI Symbol;Acc:MGI:1915282]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000031858","ENSMUSG00000031858","Mau2","MAU2 sister chromatid cohesion factor [Source:MGI Symbol;Acc:MGI:1921799]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026932","ENSMUSG00000026932","Nacc2","nucleus accumbens associated 2, BEN and BTB (POZ) domain containing [Source:MGI Symbol;Acc:MGI:1915241]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000022679","ENSMUSG00000022679","Mpv17l","Mpv17 transgene, kidney disease mutant-like [Source:MGI Symbol;Acc:MGI:2135951]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000015087","ENSMUSG00000015087","Rabl6","RAB, member RAS oncogene family-like 6 [Source:MGI Symbol;Acc:MGI:2442633]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000030203","ENSMUSG00000030203","Dusp16","dual specificity phosphatase 16 [Source:MGI Symbol;Acc:MGI:1917936]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000022244","ENSMUSG00000022244","Amacr","alpha-methylacyl-CoA racemase [Source:MGI Symbol;Acc:MGI:1098273]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000021114","ENSMUSG00000021114","Atp6v1d","ATPase, H+ transporting, lysosomal V1 subunit D [Source:MGI Symbol;Acc:MGI:1921084]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000000976","ENSMUSG00000000976","Heatr6","HEAT repeat containing 6 [Source:MGI Symbol;Acc:MGI:1919790]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000029388","ENSMUSG00000029388","Eif2b1","eukaryotic translation initiation factor 2B, subunit 1 (alpha) [Source:MGI Symbol;Acc:MGI:2384802]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000048960","ENSMUSG00000048960","Prex2","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2 [Source:MGI Symbol;Acc:MGI:1923385]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025239","ENSMUSG00000025239","Limd1","LIM domains containing 1 [Source:MGI Symbol;Acc:MGI:1352502]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000051469","ENSMUSG00000051469","Zfp24","zinc finger protein 24 [Source:MGI Symbol;Acc:MGI:1929704]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000038143","ENSMUSG00000038143","Stox2","storkhead box 2 [Source:MGI Symbol;Acc:MGI:1918319]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000032842","ENSMUSG00000032842","Abcc10","ATP-binding cassette, sub-family C (CFTR/MRP), member 10 [Source:MGI Symbol;Acc:MGI:2386976]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000059027","ENSMUSG00000059027","9630013D21Rik","RIKEN cDNA 9630013D21 gene [Source:MGI Symbol;Acc:MGI:2442649]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000085795","ENSMUSG00000085795","Zfp703","zinc finger protein 703 [Source:MGI Symbol;Acc:MGI:2662729]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000031642","ENSMUSG00000031642","Sh3rf1","SH3 domain containing ring finger 1 [Source:MGI Symbol;Acc:MGI:1913066]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000021509","ENSMUSG00000021509","Slc25a48","solute carrier family 25, member 48 [Source:MGI Symbol;Acc:MGI:2145373]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000038664","ENSMUSG00000038664","Herc1","HECT and RLD domain containing E3 ubiquitin protein ligase family member 1 [Source:MGI Symbol;Acc:MGI:2384589]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026858","ENSMUSG00000026858","Miga2","mitoguardin 2 [Source:MGI Symbol;Acc:MGI:1922035]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025495","ENSMUSG00000025495","Ptdss2","phosphatidylserine synthase 2 [Source:MGI Symbol;Acc:MGI:1351664]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000037958","ENSMUSG00000037958","Nsrp1","nuclear speckle regulatory protein 1 [Source:MGI Symbol;Acc:MGI:2144305]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000005534","ENSMUSG00000005534","Insr","insulin receptor [Source:MGI Symbol;Acc:MGI:96575]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000002346","ENSMUSG00000002346","Slc25a42","solute carrier family 25, member 42 [Source:MGI Symbol;Acc:MGI:1920345]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000015961","ENSMUSG00000015961","Adss","adenylosuccinate synthetase, non muscle [Source:MGI Symbol;Acc:MGI:87948]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000078453","ENSMUSG00000078453","Abracl","ABRA C-terminal like [Source:MGI Symbol;Acc:MGI:1920362]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000032194","ENSMUSG00000032194","Kank2","KN motif and ankyrin repeat domains 2 [Source:MGI Symbol;Acc:MGI:2384568]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000024190","ENSMUSG00000024190","Dusp1","dual specificity phosphatase 1 [Source:MGI Symbol;Acc:MGI:105120]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000061898","ENSMUSG00000061898","Rbak","RB-associated KRAB zinc finger [Source:MGI Symbol;Acc:MGI:1927369]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000029253","ENSMUSG00000029253","Cenpc1","centromere protein C1 [Source:MGI Symbol;Acc:MGI:99700]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000061410","ENSMUSG00000061410","Zcchc14","zinc finger, CCHC domain containing 14 [Source:MGI Symbol;Acc:MGI:2159407]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000070733","ENSMUSG00000070733","Fryl","FRY like transcription coactivator [Source:MGI Symbol;Acc:MGI:1919563]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000020412","ENSMUSG00000020412","Ascc2","activating signal cointegrator 1 complex subunit 2 [Source:MGI Symbol;Acc:MGI:1922702]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025217","ENSMUSG00000025217","Btrc","beta-transducin repeat containing protein [Source:MGI Symbol;Acc:MGI:1338871]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025078","ENSMUSG00000025078","Nhlrc2","NHL repeat containing 2 [Source:MGI Symbol;Acc:MGI:1914116]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000023809","ENSMUSG00000023809","Rps6ka2","ribosomal protein S6 kinase, polypeptide 2 [Source:MGI Symbol;Acc:MGI:1342290]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000031986","ENSMUSG00000031986","Sprtn","SprT-like N-terminal domain [Source:MGI Symbol;Acc:MGI:2685351]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000004098","ENSMUSG00000004098","Col5a3","collagen, type V, alpha 3 [Source:MGI Symbol;Acc:MGI:1858212]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000009640","ENSMUSG00000009640","Dmap1","DNA methyltransferase 1-associated protein 1 [Source:MGI Symbol;Acc:MGI:1913483]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000041079","ENSMUSG00000041079","Rwdd2b","RWD domain containing 2B [Source:MGI Symbol;Acc:MGI:1858215]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000030104","ENSMUSG00000030104","Edem1","ER degradation enhancer, mannosidase alpha-like 1 [Source:MGI Symbol;Acc:MGI:2180139]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000062980","ENSMUSG00000062980","Cped1","cadherin-like and PC-esterase domain containing 1 [Source:MGI Symbol;Acc:MGI:2444814]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000040701","ENSMUSG00000040701","Ap1g2","adaptor protein complex AP-1, gamma 2 subunit [Source:MGI Symbol;Acc:MGI:1328307]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000040433","ENSMUSG00000040433","Zbtb38","zinc finger and BTB domain containing 38 [Source:MGI Symbol;Acc:MGI:2442866]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000056515","ENSMUSG00000056515","Rab31","RAB31, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1914603]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000037935","ENSMUSG00000037935","Smarce1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 [Source:MGI Symbol;Acc:MGI:1927347]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000019916","ENSMUSG00000019916","P4ha1","procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide [Source:MGI Symbol;Acc:MGI:97463]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027695","ENSMUSG00000027695","Pld1","phospholipase D1 [Source:MGI Symbol;Acc:MGI:109585]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000046311","ENSMUSG00000046311","Zfp62","zinc finger protein 62 [Source:MGI Symbol;Acc:MGI:99662]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000037455","ENSMUSG00000037455","Slc18b1","solute carrier family 18, subfamily B, member 1 [Source:MGI Symbol;Acc:MGI:1923556]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000035293","ENSMUSG00000035293","G2e3","G2/M-phase specific E3 ubiquitin ligase [Source:MGI Symbol;Acc:MGI:2444298]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000041278","ENSMUSG00000041278","Ttc1","tetratricopeptide repeat domain 1 [Source:MGI Symbol;Acc:MGI:1914077]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000042032","ENSMUSG00000042032","Mat2b","methionine adenosyltransferase II, beta [Source:MGI Symbol;Acc:MGI:1913667]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000079144","ENSMUSG00000079144","A130010J15Rik","RIKEN cDNA A130010J15 gene [Source:MGI Symbol;Acc:MGI:2441776]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000028053","ENSMUSG00000028053","Ash1l","ASH1 like histone lysine methyltransferase [Source:MGI Symbol;Acc:MGI:2183158]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026664","ENSMUSG00000026664","Phyh","phytanoyl-CoA hydroxylase [Source:MGI Symbol;Acc:MGI:891978]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000041161","ENSMUSG00000041161","Otud3","OTU domain containing 3 [Source:MGI Symbol;Acc:MGI:1920412]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000035840","ENSMUSG00000035840","Lysmd3","LysM, putative peptidoglycan-binding, domain containing 3 [Source:MGI Symbol;Acc:MGI:1915906]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000092203","ENSMUSG00000092203","1110038B12Rik","RIKEN cDNA 1110038B12 gene [Source:MGI Symbol;Acc:MGI:1916013]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000059119","ENSMUSG00000059119","Nap1l4","nucleosome assembly protein 1-like 4 [Source:MGI Symbol;Acc:MGI:1316687]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000038900","ENSMUSG00000038900","Rpl12","ribosomal protein L12 [Source:MGI Symbol;Acc:MGI:98002]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000021771","ENSMUSG00000021771","Vdac2","voltage-dependent anion channel 2 [Source:MGI Symbol;Acc:MGI:106915]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000032366","ENSMUSG00000032366","Tpm1","tropomyosin 1, alpha [Source:MGI Symbol;Acc:MGI:98809]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027309","ENSMUSG00000027309","Dnaaf9","dynein axonemal assembly factor 9 [Source:MGI Symbol;Acc:MGI:1923029]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000032067","ENSMUSG00000032067","Pts","6-pyruvoyl-tetrahydropterin synthase [Source:MGI Symbol;Acc:MGI:1338783]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000058173","ENSMUSG00000058173","Smco4","single-pass membrane protein with coiled-coil domains 4 [Source:MGI Symbol;Acc:MGI:3039636]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000036745","ENSMUSG00000036745","Ttll7","tubulin tyrosine ligase-like family, member 7 [Source:MGI Symbol;Acc:MGI:1918142]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000059208","ENSMUSG00000059208","Hnrnpm","heterogeneous nuclear ribonucleoprotein M [Source:MGI Symbol;Acc:MGI:1926465]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000078670","ENSMUSG00000078670","Fam174b","family with sequence similarity 174, member B [Source:MGI Symbol;Acc:MGI:3698178]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000018604","ENSMUSG00000018604","Tbx3","T-box 3 [Source:MGI Symbol;Acc:MGI:98495]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000005682","ENSMUSG00000005682","Pan2","PAN2 poly(A) specific ribonuclease subunit [Source:MGI Symbol;Acc:MGI:1918984]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000005481","ENSMUSG00000005481","Ddx39a","DEAD box helicase 39a [Source:MGI Symbol;Acc:MGI:1915528]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000049792","ENSMUSG00000049792","Bag5","BCL2-associated athanogene 5 [Source:MGI Symbol;Acc:MGI:1917619]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000045095","ENSMUSG00000045095","Magi1","membrane associated guanylate kinase, WW and PDZ domain containing 1 [Source:MGI Symbol;Acc:MGI:1203522]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000047866","ENSMUSG00000047866","Lonp2","lon peptidase 2, peroxisomal [Source:MGI Symbol;Acc:MGI:1914137]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000022261","ENSMUSG00000022261","Sdc2","syndecan 2 [Source:MGI Symbol;Acc:MGI:1349165]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000040506","ENSMUSG00000040506","Ambra1","autophagy/beclin 1 regulator 1 [Source:MGI Symbol;Acc:MGI:2443564]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000032243","ENSMUSG00000032243","Itga11","integrin alpha 11 [Source:MGI Symbol;Acc:MGI:2442114]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000036398","ENSMUSG00000036398","Ppp1r11","protein phosphatase 1, regulatory inhibitor subunit 11 [Source:MGI Symbol;Acc:MGI:1923747]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000059146","ENSMUSG00000059146","Ntrk3","neurotrophic tyrosine kinase, receptor, type 3 [Source:MGI Symbol;Acc:MGI:97385]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000031467","ENSMUSG00000031467","Agpat5","1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon) [Source:MGI Symbol;Acc:MGI:1196345]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000032737","ENSMUSG00000032737","Inppl1","inositol polyphosphate phosphatase-like 1 [Source:MGI Symbol;Acc:MGI:1333787]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000040365","ENSMUSG00000040365","Trim41","tripartite motif-containing 41 [Source:MGI Symbol;Acc:MGI:2384814]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000022329","ENSMUSG00000022329","Stk3","serine/threonine kinase 3 [Source:MGI Symbol;Acc:MGI:1928487]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000044033","ENSMUSG00000044033","Ccdc141","coiled-coil domain containing 141 [Source:MGI Symbol;Acc:MGI:1919735]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000110206","ENSMUSG00000110206","Flt3l","FMS-like tyrosine kinase 3 ligand [Source:MGI Symbol;Acc:MGI:95560]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000027067","ENSMUSG00000027067","Ssrp1","structure specific recognition protein 1 [Source:MGI Symbol;Acc:MGI:107912]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000029432","ENSMUSG00000029432","Nipsnap2","nipsnap homolog 2 [Source:MGI Symbol;Acc:MGI:1278343]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000029152","ENSMUSG00000029152","Ociad1","OCIA domain containing 1 [Source:MGI Symbol;Acc:MGI:1915345]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000051339","ENSMUSG00000051339","2900026A02Rik","RIKEN cDNA 2900026A02 gene [Source:MGI Symbol;Acc:MGI:1920194]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026879","ENSMUSG00000026879","Gsn","gelsolin [Source:MGI Symbol;Acc:MGI:95851]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000021820","ENSMUSG00000021820","Camk2g","calcium/calmodulin-dependent protein kinase II gamma [Source:MGI Symbol;Acc:MGI:88259]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000052040","ENSMUSG00000052040","Klf13","Kruppel-like transcription factor 13 [Source:MGI Symbol;Acc:MGI:1354948]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000071172","ENSMUSG00000071172","Srsf3","serine and arginine-rich splicing factor 3 [Source:MGI Symbol;Acc:MGI:98285]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000021686","ENSMUSG00000021686","Ap3b1","adaptor-related protein complex 3, beta 1 subunit [Source:MGI Symbol;Acc:MGI:1333879]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000063904","ENSMUSG00000063904","Dpp3","dipeptidylpeptidase 3 [Source:MGI Symbol;Acc:MGI:1922471]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000074754","ENSMUSG00000074754","Smim26","small integral membrane protein 26 [Source:MGI Symbol;Acc:MGI:2685407]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000000088","ENSMUSG00000000088","Cox5a","cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000001418","ENSMUSG00000001418","Glmp","glycosylated lysosomal membrane protein [Source:MGI Symbol;Acc:MGI:1913318]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000073758","ENSMUSG00000073758","Sh3d21","SH3 domain containing 21 [Source:MGI Symbol;Acc:MGI:1914188]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000042251","ENSMUSG00000042251","Pm20d1","peptidase M20 domain containing 1 [Source:MGI Symbol;Acc:MGI:2442939]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000025494","ENSMUSG00000025494","Sigirr","single immunoglobulin and toll-interleukin 1 receptor (TIR) domain [Source:MGI Symbol;Acc:MGI:1344402]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000040747","ENSMUSG00000040747","Cd53","CD53 antigen [Source:MGI Symbol;Acc:MGI:88341]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000014633","ENSMUSG00000014633","Cmc2","COX assembly mitochondrial protein 2 [Source:MGI Symbol;Acc:MGI:1913781]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000026162","ENSMUSG00000026162","Nhej1","non-homologous end joining factor 1 [Source:MGI Symbol;Acc:MGI:1922820]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000032604","ENSMUSG00000032604","Qars","glutaminyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:1915851]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000038025","ENSMUSG00000038025","Phf2","PHD finger protein 2 [Source:MGI Symbol;Acc:MGI:1338034]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000091586","ENSMUSG00000091586","Cyp4f17","cytochrome P450, family 4, subfamily f, polypeptide 17 [Source:MGI Symbol;Acc:MGI:3646233]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000071266","ENSMUSG00000071266","Zfp946","zinc finger protein 946 [Source:MGI Symbol;Acc:MGI:1921399]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000035297","ENSMUSG00000035297","Cops4","COP9 signalosome subunit 4 [Source:MGI Symbol;Acc:MGI:1349414]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000048279","ENSMUSG00000048279","Sacs","sacsin [Source:MGI Symbol;Acc:MGI:1354724]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000057614","ENSMUSG00000057614","Gnai1","guanine nucleotide binding protein (G protein), alpha inhibiting 1 [Source:MGI Symbol;Acc:MGI:95771]","ARRAYEXPRESS,ENSG"
"ENSMUSG00000041354","ENSMUSG00000041354","Rgl2","ral guanine nucleotide dissociation stimulator-like 2 [Source:MGI Symbol;Acc:MGI:107483]","ARRAYEXPRESS,ENSG"
